"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2021-07-01","09:44","서울","구로구","부일로","서울특별시 구로구 궁동 197-10","서울특별시 구로구 온수동 56","28","57","27","매우좋음"
"2021-07-01","10:04","서울","구로구","서해안로","서울특별시 구로구 항동 211-22","서울특별시 구로구 개봉동 243-2","28","58","18","매우좋음"
"2021-07-01","10:28","서울","구로구","중앙로","서울특별시 구로구 고척동 63-5","서울특별시 구로구 고척동 1-15","29","54","33","매우좋음"
"2021-07-01","10:35","서울","구로구","고척로","서울특별시 구로구 고척동 186-4","서울특별시 구로구 오류동 6-41","29","54","19","매우좋음"
"2021-07-01","11:04","서울","구로구","오리로","서울특별시 구로구 궁동 5","서울특별시 구로구 천왕동 41-3","29","56","23","매우좋음"
"2021-07-01","11:49","서울","구로구","금오로","경기도 광명시 옥길동 667-21","서울특별시 구로구 천왕동 259-3","31","52","49","매우좋음"
"2021-07-01","11:57","서울","구로구","천왕로","서울특별시 구로구 천왕동 14-44","서울특별시 구로구 천왕동 277-4","31","50","22","매우좋음"
"2021-07-01","12:09","서울","구로구","개봉로","서울특별시 구로구 개봉동 372-1","서울특별시 구로구 개봉동 139-4","31","49","21","매우좋음"
"2021-07-01","12:23","서울","구로구","공원로","서울특별시 구로구 신도림동 422-10","서울특별시 구로구 구로동 50","31","48","29","매우좋음"
"2021-07-01","12:30","서울","구로구","구로중앙로","서울특별시 구로구 구로동 136-14","서울특별시 구로구 구로동 604-15","32","47","15","매우좋음"
"2021-07-01","12:41","서울","구로구","신도림로","서울특별시 구로구 신도림동 397-3","서울특별시 구로구 신도림동 312-16","31","48","22","매우좋음"
"2021-07-01","12:51","서울","구로구","새말로","서울특별시 구로구 구로동 1-4","서울특별시 구로구 구로동 496-128","32","47","13","매우좋음"
"2021-07-01","13:02","서울","구로구","구로동로","서울특별시 구로구 구로동 496-119","서울특별시 구로구 가리봉동 121-50","32","47","16","매우좋음"
"2021-07-01","13:15","서울","구로구","디지털로","서울특별시 구로구 가리봉동 127-30","서울특별시 구로구 구로동 179-13","32","46","10","매우좋음"
"2021-07-01","13:24","서울","구로구","도림로","서울특별시 구로구 구로동 125-83","서울특별시 구로구 구로동 772","32","47","27","매우좋음"
"2021-07-01","13:37","서울","구로구","가마산로","서울특별시 구로구 구로동 70-5","서울특별시 구로구 구로동 390-3","31","47","95","좋음"
"2021-07-01","13:49","서울","구로구","벚꽃로","서울특별시 구로구 구로동 390-5","서울특별시 구로구 구로동 584-2","31","48","152","나쁨"
"2021-07-01","14:04","서울","구로구","경인로","서울특별시 구로구 신도림동 330-62","서울특별시 구로구 온수동 44-8","32","46","26","매우좋음"
"2021-07-01","09:39","인천","부평구","경원대로","인천광역시 부평구 십정동 542-27","인천광역시 부평구 부평동 126-10","28","87","31","매우좋음"
"2021-07-01","09:58","인천","부평구","장제로","인천광역시 부평구 부평동 650-25","인천광역시 부평구 삼산동 382-2","29","82","30","매우좋음"
"2021-07-01","10:25","인천","부평구","부평대로","인천광역시 부평구 청천동 435","인천광역시 부평구 부평동 126-10","30","75","25","매우좋음"
"2021-07-01","10:45","인천","부평구","부일로","인천광역시 부평구 부개동 495","인천광역시 부평구 부평동 589","29","78","31","매우좋음"
"2021-07-01","10:49","인천","부평구","대정로","인천광역시 부평구 부평동 589","인천광역시 부평구 부평동 126-10","29","77","23","매우좋음"
"2021-07-01","10:55","인천","부평구","부흥로","인천광역시 부평구 부평동 70-16","인천광역시 부평구 부개동 509","30","73","34","매우좋음"
"2021-07-01","11:05","인천","부평구","부개로","인천광역시 부평구 부개동 509","인천광역시 부평구 부개동 504","29","77","29","매우좋음"
